"R0000100","R0009600","R0173600","R0214700","R0214800"
1,12,5,3,2
2,12,5,3,2
3,5,5,3,2
4,3,5,3,2
5,5,1,3,1
6,5,1,3,1
7,5,1,3,1
8,3,6,3,2
9,12,1,3,1
10,5,6,3,2
11,5,1,3,1
12,5,5,3,2
13,11,1,3,1
14,11,5,3,2
15,11,1,3,1
16,12,5,3,2
17,3,1,3,1
18,3,1,3,1
19,5,5,3,2
20,12,5,3,2
21,12,5,3,2
22,22,5,3,2
23,6,1,3,1
24,6,1,3,1
25,6,5,3,2
26,3,1,3,1
27,3,5,3,2
28,3,5,3,2
29,7,5,3,2
30,7,5,3,2
31,19,4,1,1
32,19,8,1,2
33,19,4,1,1
34,3,1,3,1
35,3,5,3,2
36,3,1,3,1
37,6,5,3,2
38,6,5,3,2
39,3,1,3,1
40,12,2,3,1
41,12,2,3,1
42,28,1,3,1
43,28,6,3,2
44,3,5,3,2
45,5,1,3,1
46,5,5,3,2
47,3,1,3,1
48,5,2,3,1
49,6,5,3,2
50,6,5,3,2
51,6,1,3,1
52,5,1,3,1
53,19,4,1,1
54,22,1,3,1
55,12,1,3,1
56,12,5,3,2
57,5,5,3,2
58,3,5,3,2
59,28,1,3,1
60,28,1,3,1
61,22,5,3,2
62,6,5,3,2
63,5,1,3,1
64,5,1,3,1
65,5,5,3,2
66,3,1,3,1
67,3,1,3,1
68,3,5,3,2
69,29,1,3,1
70,3,1,3,1
71,3,1,3,1
72,3,5,3,2
73,3,1,3,1
74,3,5,3,2
75,3,5,3,2
76,21,1,3,1
77,3,5,3,2
78,6,5,3,2
79,6,1,3,1
80,12,1,3,1
81,12,1,3,1
82,1,3,2,1
83,1,3,2,1
84,1,3,2,1
85,1,3,2,1
86,1,7,2,2
87,1,3,2,1
88,1,3,2,1
89,1,7,2,2
90,22,1,3,1
91,22,5,3,2
92,3,5,3,2
93,22,1,3,1
94,29,1,3,1
95,12,5,3,2
96,6,6,3,2
97,11,5,3,2
98,3,6,3,2
99,5,5,3,2
100,22,5,3,2
101,12,1,3,1
102,12,5,3,2
103,22,1,3,1
104,12,5,3,2
105,22,6,3,2
106,22,1,3,1
107,6,1,3,1
108,29,1,3,1
109,3,5,3,2
110,5,1,3,1
111,5,5,3,2
112,3,5,3,2
113,22,1,3,1
114,22,1,3,1
115,3,5,3,2
116,3,5,3,2
117,3,1,3,1
118,3,5,3,2
119,5,1,3,1
120,5,1,3,1
121,3,5,3,2
122,5,1,3,1
123,3,1,3,1
124,5,5,3,2
125,5,1,3,1
126,5,1,3,1
127,3,1,3,1
128,6,5,3,2
129,6,1,3,1
130,6,6,3,2
131,3,6,3,2
132,3,6,3,2
133,12,5,3,2
134,12,1,3,1
135,3,1,3,1
136,3,5,3,2
137,5,5,3,2
138,11,5,3,2
139,11,1,3,1
140,11,5,3,2
141,3,5,3,2
142,22,1,3,1
143,22,5,3,2
144,22,5,3,2
145,3,1,3,1
146,3,1,3,1
147,6,5,3,2
148,6,1,3,1
149,6,5,3,2
150,6,1,3,1
151,12,5,3,2
152,12,5,3,2
153,11,5,3,2
154,11,5,3,2
155,5,1,3,1
156,12,1,3,1
157,12,5,3,2
158,12,5,3,2
159,12,5,3,2
160,5,5,3,2
161,5,5,3,2
162,28,1,3,1
163,3,1,3,1
164,5,5,3,2
165,3,5,3,2
166,6,1,3,1
167,22,5,3,2
168,1,3,2,1
169,1,7,2,2
170,7,5,3,2
171,28,1,3,1
172,12,6,3,2
173,28,1,3,1
174,19,8,1,2
175,3,5,3,2
176,3,5,3,2
177,3,1,3,1
178,6,1,3,1
179,12,5,3,2
180,3,5,3,2
181,22,1,3,1
182,22,1,3,1
183,3,5,3,2
184,6,5,3,2
185,3,1,3,1
186,6,5,3,2
187,6,1,3,1
188,3,5,3,2
189,12,1,3,1
190,10,5,3,2
191,10,1,3,1
192,3,5,3,2
193,4,1,3,1
194,3,1,3,1
195,6,1,3,1
196,6,1,3,1
197,12,5,3,2
198,3,1,3,1
199,5,1,3,1
200,12,5,3,2
201,12,1,3,1
202,29,1,3,1
203,15,8,1,2
204,19,8,1,2
205,19,8,1,2
206,11,1,3,1
207,3,1,3,1
208,5,6,3,2
209,12,1,3,1
210,12,1,3,1
211,3,5,3,2
212,11,1,3,1
213,11,1,3,1
214,11,1,3,1
215,28,1,3,1
216,3,5,3,2
217,6,1,3,1
218,29,1,3,1
219,6,5,3,2
220,6,5,3,2
221,1,7,2,2
222,1,3,2,1
223,1,3,2,1
224,1,7,2,2
225,19,4,1,1
226,19,4,1,1
227,1,7,2,2
228,20,8,1,2
229,11,5,3,2
230,12,1,3,1
