"","mean","se_mean","sd","2.5%","10%","25%","50%","75%","90%","97.5%","n_eff","Rhat"
"(Intercept)",-2.93595212300852,0.00111160125977227,0.0644254254228663,-3.06223507325073,-3.01845932426055,-2.97939314571139,-2.93577586724631,-2.8922777603822,-2.85309349885793,-2.81246786752859,3359.05047211009,1.00016133040587
"BMI_pred_catU",-0.555275777899811,0.00265251235762235,0.218278545517675,-1.00946380256708,-0.840484115433715,-0.69738134451664,-0.543955065298876,-0.404642588124891,-0.281679404064454,-0.157298919724835,6771.84908003373,1.00020582241922
"BMI_pred_catOV",-0.124820575702111,0.0012983763931972,0.0955135799757377,-0.318405495251258,-0.24667531048726,-0.188430857432472,-0.124503647523038,-0.0616468826793663,-0.000912673117083377,0.0605833969156241,5411.64158413798,0.999776415655293
"BMI_pred_catO",-0.27399488741586,0.00304696572421664,0.230859541426708,-0.741366861449563,-0.576563547309157,-0.424907767974514,-0.267272420387888,-0.115420145220971,0.0178667890206685,0.156539977572646,5740.64273510844,0.999838648508262
"bcohort15",0.0892143475248617,0.00114126472842801,0.0732655632431483,-0.0551997908750083,-0.00432919997306545,0.0403596583660743,0.088762370966325,0.138586650535782,0.183213064150813,0.230424747231805,4121.23134934816,1.00010570720453
"bcohort16",0.129316714152539,0.00118999523872878,0.0749363779787422,-0.020031279272235,0.0340887223973477,0.0790546651282598,0.129467098885847,0.178698845616173,0.225316801725116,0.277302075013932,3965.47255174492,1.00006936104465
"bcohort17",0.0237518421516386,0.00118625172346162,0.0744864330072159,-0.121485360999,-0.0724607290635004,-0.0263106596817165,0.0243705529028877,0.0733908821841649,0.11799100155496,0.169531958290049,3942.76272348032,1.00018295931162
"bcohort18",0.00867657155330049,0.00117756070519029,0.0730504566026315,-0.133650612596847,-0.0845655833332885,-0.0413423084743371,0.00980566103670218,0.0577856896505238,0.099402870562963,0.153369442667671,3848.39161512828,1.00014385564373
"bcohort19",-0.066931675108563,0.00118979691897399,0.0755341672534202,-0.214346893284965,-0.162722326316738,-0.118687671865694,-0.0673470813482365,-0.0157561784430455,0.0301035026023193,0.0807455654740872,4030.33560483767,1.00040505134309
"bcohort20",-0.00779896330013488,0.00118247038384957,0.0749498467612006,-0.152080434651747,-0.104522563866765,-0.0597271978133031,-0.00763652722790977,0.0427273178862876,0.0887202199692456,0.137451914137956,4017.54688846546,0.999857131142858
"bcohort21",0.101169406240037,0.0011823291435982,0.0748173705464997,-0.0460861731878493,0.00590149422085341,0.051746894282738,0.101178503939757,0.150584652402506,0.196505742559313,0.247025670004431,4004.31369252387,1.00010070723123
"bcohort22",-0.0198971995698894,0.00132983087301401,0.106897302595118,-0.230165284478188,-0.157952684218322,-0.0916278103330647,-0.0199430692260956,0.0534033637885071,0.118660702039526,0.184495676016581,6461.60893865507,0.999870290480359
"racenewHispanics",-0.0181001450909419,0.000613494892231406,0.0558473325404865,-0.128912444944482,-0.0892082828674823,-0.0555350618296534,-0.0179024964890243,0.0192885130935948,0.0532232867306152,0.0913731866194468,8286.72575953006,0.999732536094593
"racenewWhites",-0.188344851250804,0.000445243230795886,0.0406604026907831,-0.267943993076861,-0.24026302244672,-0.215657542472382,-0.188572035813088,-0.16135991431952,-0.1361965945484,-0.109367102603025,8339.666813851,0.999901269713446
"BMI_pred_catU:racenewHispanics",0.382241953836534,0.00472036054272816,0.438293657246815,-0.522550232512056,-0.189386878685298,0.0960758795791049,0.400310822517622,0.679041208035008,0.930982002202398,1.19808504497373,8621.44433958114,1.0002217685254
"BMI_pred_catOV:racenewHispanics",0.0528845460042056,0.00176172911299502,0.137438409815407,-0.210886588988037,-0.121325229320599,-0.0415074110023903,0.0517286251930344,0.144740099097477,0.229809710473594,0.320872633612398,6086.08454226293,0.999743694576217
"BMI_pred_catO:racenewHispanics",-0.0434620399212345,0.00373724338966397,0.30199274139788,-0.63073000628387,-0.425467252624221,-0.246745793839286,-0.0452844572208418,0.157967941517443,0.341257873403138,0.556168718264907,6529.65513066497,0.999719222303537
"BMI_pred_catU:racenewWhites",-0.0366967590315193,0.00339119901379862,0.279365617147051,-0.569330048192329,-0.39399880796327,-0.223347954649535,-0.0437492047253988,0.150681811004744,0.326217211746648,0.519167678469848,6786.3984412561,1.00071363575223
"BMI_pred_catOV:racenewWhites",0.0393476640344945,0.0015103757623809,0.114829461982757,-0.184515661642804,-0.107805306871838,-0.0370680686770973,0.0393881434714547,0.115237483702299,0.185228147402124,0.269303619661084,5780.1172020065,0.999772236384078
"BMI_pred_catO:racenewWhites",-0.0313413579219866,0.00355897357836509,0.280740446476048,-0.566206541535584,-0.387212793087778,-0.221929120313879,-0.0328849607376806,0.153162178665412,0.333446180067397,0.526919077533304,6222.43609190177,0.999895962537647
"log-posterior",-15129.6122211137,0.0540872314994105,3.19288513425405,-15136.8345998076,-15133.8383530933,-15131.512976428,-15129.2414771627,-15127.3385223409,-15125.8075162395,-15124.3457660933,3484.79379782642,1.00153717090731
